Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
PCMax	Graph_100_5017_C	5000	0.6896551724137931	1.0	0.5692307692307692	0.74	128.0	0.8163265306122449	0.6434782608695652
PCMax	Graph_100_5018_C	5000	0.7071428571428572	0.99	0.6517857142857143	0.73	113.0	0.8250000000000001	0.6886792452830188
PCMax	Graph_100_5019_C	5000	0.7153284671532847	0.98	0.5483870967741935	0.68	131.0	0.8270042194092827	0.6071428571428571
PCMax	Graph_100_5020_C	5000	0.7071428571428572	0.99	0.6554621848739496	0.78	111.0	0.8250000000000001	0.7123287671232876
PCMax	Graph_100_10001_C	10000	0.8323699421965318	0.96	0.7597402597402597	0.78	109.0	0.8916408668730651	0.7697368421052632
PCMax	Graph_100_10002_C	10000	0.8765432098765432	0.9466666666666667	0.815068493150685	0.7933333333333333	90.0	0.9102564102564102	0.8040540540540541
PCMax	Graph_100_10003_C	10000	0.8362573099415205	0.9533333333333334	0.8	0.7733333333333333	101.0	0.8909657320872274	0.7864406779661017
PCMax	Graph_100_10004_C	10000	0.8711656441717791	0.9466666666666667	0.8309859154929577	0.7866666666666666	88.0	0.9073482428115016	0.8082191780821917
PCMax	Graph_100_10005_C	10000	0.8057142857142857	0.94	0.6294117647058823	0.7133333333333334	149.0	0.8676923076923078	0.66875
PCMax	Graph_100_10006_C	10000	0.8529411764705882	0.9666666666666667	0.8368794326241135	0.7866666666666666	90.0	0.90625	0.8109965635738831
PCMax	Graph_100_10007_C	10000	0.8273809523809523	0.9266666666666666	0.7290322580645161	0.7533333333333333	120.0	0.8742138364779874	0.7409836065573769
PCMax	Graph_100_10008_C	10000	0.8383233532934131	0.9333333333333333	0.7446808510638298	0.7	121.0	0.8832807570977917	0.7216494845360825
PCMax	Graph_100_10009_C	10000	0.8171428571428572	0.9533333333333334	0.7697368421052632	0.78	110.0	0.88	0.7748344370860928
